ID,Phase,Track,Task,Owner,Status,Priority,Dependency,Output,Next_Action,Updated_Date,Notes
F-001,00,Foundation,새 MASTER PLAN(마스터 플랜)과 병렬 Track(작업 축) 구조 확정,WORK,COMPLETE,HIGH,-,00_MASTER_PLAN.md,완료 상태 유지,2026-08-14,최상위 Source of Truth(공식 기준) 지정
F-002,00,Foundation,00_PROJECT Control Center(프로젝트 관리 중심부) 정상화,WORK,COMPLETE,HIGH,F-001,정규화된 00_PROJECT 구조,완료 상태 유지,2026-08-14,기존 제작 폴더는 변경하지 않음
F-003,00,Foundation,Business Input(사업 입력자료) 템플릿 준비,WORK,COMPLETE,HIGH,F-002,03_BUSINESS 템플릿,실제 원본자료 입력 대기,2026-08-14,모든 숫자는 [TBD]
F-004,00,Foundation,진행상태 Dashboard(현황판)와 Master Checklist(마스터 체크리스트) 구축,WORK,COMPLETE,HIGH,F-002,00_PROJECT_STATUS.md; 09_MASTER_CHECKLIST.csv,주요 Task 완료 때마다 갱신,2026-08-14,상태값 표준화 완료
M-001,ALL,Management,Phase·주요 Task 종료 시 관리문서 동시 갱신,WORK,IN PROGRESS,HIGH,F-004,STATUS; CHECKLIST; DECISIONS; NEXT ACTION,프로젝트 종료까지 반복 수행,2026-08-09,상시 관리 규칙
A-001,01A,Creative,A/B/C/D·HOLD·제외 평가기준 확정,WORK,COMPLETE,HIGH,F-004,ASSET_INDEX 평가기준; ASSET_CURATED 규칙,A-002 BRAND 자산 Deep Review 시작,2026-08-09,평가 기준은 ASSET_CURATED.md에 잠금; 상업사용 승인과 별개
A-002,01A,Creative,BRAND 자산 Deep Review,WORK,COMPLETE,HIGH,A-001,04_ASSETS/ASSET_INDEX.csv,A-003 KOREA TOUR 검토 완료,2026-08-09,초기 작업 범위에는 BRAND 별도 실자산이 없었음; A-011B에서 상위 원본 라이브러리의 Brand Core 16개를 추가 확인·수입함
A-003,01A,Creative,KOREA TOUR 자산 Deep Review,WORK,COMPLETE,HIGH,A-002,04_ASSETS/ASSET_INDEX.csv,A-004 Invitation·Ticket·Package 검토 완료,2026-08-09,81개 실제 파일·파생 관계 검토 완료
A-004,01A,Creative,INVITATION·TICKET·PACKAGE 자산 Deep Review,WORK,COMPLETE,HIGH,A-003,ASSET_INDEX; ASSET_CURATED,사용자 검토 후 DAY/NIGHT 동시 비교 배치 진행,2026-08-09,84개 실제 파일·파생 관계 검토 완료
A-005,01A,Creative,SEOUL DAY 자산 Deep Review,WORK,COMPLETE,HIGH,A-004,ASSET_INDEX; ASSET_CURATED,A-007 완료; PHASE 01A-4 검토 대기,2026-08-09,"PHASE 01A-2 DATA COMPLETION / QA 완료: 파일별 필드, 개별 summary, Hero·Pair·모바일 크롭·장소 사실성 기록 검증"
A-006,01A,Creative,SEOUL NIGHT 자산 Deep Review,WORK,COMPLETE,HIGH,A-004,ASSET_INDEX; ASSET_CURATED,A-007 완료; PHASE 01A-4 검토 대기,2026-08-09,"PHASE 01A-2 DATA COMPLETION / QA 완료: 파일별 필드, 개별 summary, Hero·Pair·모바일 크롭·장소 사실성 기록 검증"
A-007,01A,Creative,제품·디테일·핏 자산 Deep Review,WORK,COMPLETE,HIGH,A-006,ASSET_INDEX; ASSET_CURATED,PHASE 01A-4 Social Proof·Celebrity·Creator 검토 대기,2026-08-09,"PHASE 01A-3 완료: 01_INPUT(입력_원본)/05_PRODUCTS(제품) 22개 검토, DAY/NIGHT Product Proof Cross-reference, Fact·Visual Observation·Source Required·Gap 기록"
A-008,01A,Creative,Social Proof·Celebrity·Creator 검토,WORK,COMPLETE,MEDIUM,A-007,ASSET_INDEX; ASSET_CURATED,사용권 재감사 완료; A-011 통합 큐레이션에 반영,2026-08-10,"실제 자산 102개 검토; Creative Grade와 상업사용 상태 분리; 재감사 후 CLEARED 29 / HOLD 51 / UNKNOWN 22; 유료 납품물만 사용자 확인으로 CLEARED, 기사·방송·제3자·플랫폼 자료는 HOLD"
A-009,01A,Creative,Global·IShowSpeed HOLD 검토,WORK,COMPLETE,MEDIUM,A-008,ASSET_INDEX; ASSET_CURATED,A-010 Video·Reels·기존 WADIZ 자산 검토 대기,2026-08-10,A-009 완료: 실제 IShowSpeed 관련 자산 21개 검토; B 1/C 9/D 2/HOLD 1/EXCLUDE 8; CLEARANCE HOLD 19/UNKNOWN 2/CLEARED 0; 협업·추천·공식 관계로 확대하지 않음
A-010,01A,Creative,Video·Reels·기존 WADIZ 자산 검토,WORK,COMPLETE,MEDIUM,A-009,ASSET_INDEX; ASSET_CURATED,A-011·A-012 승인 결과에 반영 완료,2026-08-10,A-010 완료: Video 21개·기존 WADIZ 31개·Prototype 1개·Storyboard 1개 실제 검토; 638/638 REVIEWED
