Trace_ID,Product,Fact,Source_Path,Source_File,Source_Date,Kakao_Timestamp,Evidence_Rank,Fact_Status,Conflict,Resolution
PF-001,"SWEATSHIRT DAY/NIGHT","특양면; 작업지시서 750G 원문","/Volumes/DESKTOP/XXX STUDIO/1) 디자인/04) SEOUL/인쇄/샘플 인쇄/메인 생산/1) 작업 지시서/","DAY/NIGHT 본생산 작업지시서.xlsx","2024-02-27","해당 없음","B","CONFIRMED AS WRITTEN / UNIT UNKNOWN","750G 의미·단위 없음","gsm·제품중량으로 해석하지 않고 원문만 보존"
PF-002,"SWEATSHIRT DAY/NIGHT","면 71% / 폴리에스터 29%","/Volumes/DESKTOP/XXX STUDIO/1) 디자인/04) SEOUL/5) 라벨/제작 요청/최종/","케어라벨) XXX STUDIO.ai","2024-02-28","2024-02-28 11:39","A","EVIDENCE CONFIRMED","작업지시서 C80/PE20","최종 라벨·업체 답변 우선"
PF-003,"SWEATSHIRT DAY/NIGHT","데오드란트 테이프 제외","/Volumes/DESKTOP/SEOUL_WADIZ/01_INPUT(입력_원본)/11_BUSINESS_SOURCE(사업_원자료)/01_SOURCE_INPUT(원본_입력)/production/","권도재 Kakao ZIP; IMG_7475.JPG","2024-03-25","2024-03-25 13:13","A","EVIDENCE CONFIRMED","초기 원가표 포함","36,300원에서 500원 인하한 35,800원 잔금 단가와 일치"
PF-004,"SWEATSHIRT DAY/NIGHT","모빌론 어깨선 테이프 포함","/Volumes/DESKTOP/SEOUL_WADIZ/01_INPUT(입력_원본)/11_BUSINESS_SOURCE(사업_원자료)/01_SOURCE_INPUT(원본_입력)/production/","권도재 Kakao ZIP","2024-03-25","2024-03-25 12:04","A","EVIDENCE CONFIRMED","없음","업체 최종 문구 ‘모빌론테이프만’ 우선"
PF-005,"SWEATSHIRT DAY/NIGHT","넥라인 헤링본/해리테이프 포함","/Volumes/DESKTOP/SEOUL_WADIZ/01_INPUT(입력_원본)/11_BUSINESS_SOURCE(사업_원자료)/01_SOURCE_INPUT(원본_입력)/; /Volumes/DESKTOP/XXX STUDIO/1) 디자인/04) SEOUL/5) 라벨/","IMG_7580.JPG; 권도재 Kakao ZIP","2024-02-29~2024-03-25","2024-02-29 10:55~11:41","B + USER","USER CONFIRMED / EVIDENCE CONFIRMED","직접 제거 문장 없음","원가표·넥라인 라벨 봉제 대화·사용자 최신 확정이 일치"
PF-006,"SWEATSHIRT DAY","앞 중앙 실리콘 브랜드 + 작은 DTF 서울","/Volumes/DESKTOP/XXX STUDIO/1) 디자인/04) SEOUL/인쇄/샘플 인쇄/메인 생산/1) 작업 지시서/","인쇄(전사_실리콘); 인쇄(전사_DTF)","2024-02-27","해당 없음","B","EVIDENCE CONFIRMED","공홈이 두 요소를 3D 실리콘으로 묶음","작업지시서와 실물로 공법을 분리"
PF-007,"SWEATSHIRT NIGHT","앞 중앙 실리콘 브랜드 + 작은 DTF 서울","/Volumes/DESKTOP/XXX STUDIO/1) 디자인/04) SEOUL/인쇄/샘플 인쇄/메인 생산/1) 작업 지시서/","인쇄(전사_실리콘); 인쇄(전사_DTF)","2024-02-27","해당 없음","B","EVIDENCE CONFIRMED","공홈이 두 요소를 3D 실리콘으로 묶음","작업지시서와 실물로 공법을 분리"
PF-008,"SWEATSHIRT DAY/NIGHT","등판 DTF 최종 가로 25cm","/Volumes/DESKTOP/XXX STUDIO/1) 디자인/04) SEOUL/인쇄/샘플 인쇄/메인 생산/1) 작업 지시서/; /Volumes/DESKTOP/SEOUL_WADIZ/01_INPUT(입력_원본)/11_BUSINESS_SOURCE(사업_원자료)/01_SOURCE_INPUT(원본_입력)/production/","DAY/NIGHT 작업지시서; 권도재 Kakao ZIP","2024-02-27~29","2024-02-28 21:45; 2024-02-29 10:43","A","EVIDENCE CONFIRMED","지시서 300×368.822mm 초기값","더 늦은 생산 대화의 가로 25cm·기존 위치 우선"
PF-009,"SWEATSHIRT DAY/NIGHT","왼쪽 소매 3M 리플렉티브","/Volumes/DESKTOP/XXX STUDIO/1) 디자인/04) SEOUL/인쇄/샘플 인쇄/메인 생산/1) 작업 지시서/; /Volumes/DESKTOP/SEOUL_WADIZ/01_INPUT(입력_원본)/11_BUSINESS_SOURCE(사업_원자료)/01_SOURCE_INPUT(원본_입력)/production/","인쇄(전사_반사); 권도재 Kakao ZIP","2024-02-27~2024-04-01","2024-04-01 12:58~16:25","A","EVIDENCE CONFIRMED","일부 셀 색상 복사 오류","DAY 검정 3M / NIGHT 실버·흰색 3M 실물·대화 우선"
PF-010,"SWEATSHIRT DAY/NIGHT","과거 본생산 단가 35,800원/장","/Volumes/DESKTOP/SEOUL_WADIZ/01_INPUT(입력_원본)/11_BUSINESS_SOURCE(사업_원자료)/01_SOURCE_INPUT(원본_입력)/production/","IMG_7475.JPG","2024-04-09","해당 없음","A","HISTORICAL COST CONFIRMED","2026 현행 원가와 혼동 위험","HISTORICAL PRODUCTION COST로만 관리"
