ITEM_ID,CURRENT_PATH,PROPOSED_PATH,CURRENT_ROLE,PROPOSED_ROLE,ACTION_GROUP,RISK,REASON,REFERENCE_UPDATE_TARGETS,FOLDER_RENAME,MERGE,ARCHIVE,APPROVAL_REQUIRED,BLOCKER,VALIDATION
M-001,00_PROJECT/00_AI_TEAM_BRIEF__AI팀_공통브리프.md,00_CONTROL(프로젝트_통제)/01_CORE(핵심_정본)/00_AI_TEAM_BRIEF__AI팀_공통브리프.md,CONTROL,CONTROL,CONDITIONAL MOVE,HIGH,부팅 정본,Story 번호 동기화 + 모든 포인터 갱신,YES,NO,NO,YES,P0 canonical drift,새 위치 부팅 테스트
M-002,00_PROJECT/00_MASTER_PLAN.md,00_CONTROL(프로젝트_통제)/01_CORE(핵심_정본)/00_MASTER_PLAN.md,CONTROL,CONTROL,CONDITIONAL MOVE,HIGH,Governance 정본,직접 참조 55회/31파일 재작성,YES,NO,NO,YES,Freeze 필요,정적 링크 0 + Gate 일치
M-003,00_PROJECT/00_PROJECT_STATUS.md,00_CONTROL(프로젝트_통제)/06_STATUS(진행상태_의사결정)/00_PROJECT_STATUS.md,CONTROL,CONTROL,CONDITIONAL MOVE,HIGH,동적 상태 정본,직접 참조 54회/31파일 재작성,YES,NO,NO,YES,Story 번호 drift,현재 상태 대조
M-004,00_PROJECT/01_PROJECT_BRIEF.md,99_ARCHIVE(보관_폐기)/01_SUPERSEDED(대체_보관)/01_PROJECT_BRIEF.md,CONTROL,ARCHIVE,CONDITIONAL MOVE,MEDIUM,비정본 중복 요약,감사 문서 참조 확인,NO,NO,YES,YES,사용자 승인,Master/Status 정보 보존 확인
M-005,00_PROJECT/02_BRAND_SYSTEM.md,00_CONTROL(프로젝트_통제)/01_CORE(핵심_정본)/02_BRAND_SYSTEM.md,CONTROL,CONTROL,CONDITIONAL MOVE,HIGH,Brand 정본,브랜드·Story·전략 포인터,YES,NO,NO,YES,Canonical freeze,Fixed language 대조
M-006,00_PROJECT/07_DECISIONS.md,00_CONTROL(프로젝트_통제)/06_STATUS(진행상태_의사결정)/07_DECISIONS.md,CONTROL,CONTROL,CONDITIONAL MOVE,HIGH,승인 이력 정본,직접 참조 50회/28파일,YES,NO,NO,YES,Append-only 보존,행수·SHA·최신 Entry 검증
M-007,00_PROJECT/09_MASTER_CHECKLIST.csv,00_CONTROL(프로젝트_통제)/06_STATUS(진행상태_의사결정)/09_MASTER_CHECKLIST.csv,CONTROL,CONTROL,CONDITIONAL MOVE,HIGH,Task Ledger 정본,직접 참조 54회/30파일,YES,NO,NO,YES,86행 상태 보존,86 unique + 분포 동일
M-008,00_PROJECT/09_TASKS.md,99_ARCHIVE(보관_폐기)/01_SUPERSEDED(대체_보관)/09_TASKS.md,CONTROL,ARCHIVE,CONDITIONAL MOVE,MEDIUM,Checklist 미러,감사·QA 참조 확인,NO,NO,YES,YES,사용자 승인,Checklist로 내용 보존 확인
M-009,00_PROJECT/00_FOLDER_GUIDE__폴더_안내.md,99_ARCHIVE(보관_폐기)/01_SUPERSEDED(대체_보관)/00_FOLDER_GUIDE__폴더_안내_20260811.md,CONTROL,ARCHIVE,CONDITIONAL MOVE,HIGH,795 Asset 기준으로 현재 961과 불일치,새 Root Guide 승인 후에만 대체,NO,NO,YES,YES,새 Guide 미생성 상태,신규 Guide와 역할 비교
M-010,00_PROJECT/03_BUSINESS/00_SOURCE_INPUT,01_INPUT(입력_원본)/11_BUSINESS_SOURCE(사업_원자료)/01_SOURCE_INPUT(원본_입력),INPUT,INPUT,CONDITIONAL MOVE,HIGH,사업 원본 증거,Workbook·Evidence 경로 전수 갱신,YES,NO,NO,YES,Excel lock,원본 SHA·증거 ID 일치
