"relative_path","top_level","extension","size_bytes","size_mb","last_modified_kst","repository_policy"
".gitignore",".gitignore",".gitignore","472","0","2026-09-02 22:55:24","GITHUB_INCLUDED"
"00_CONTROL(프로젝트_통제)\01_CORE(핵심_정본)\00_AI_TEAM_BRIEF__AI팀_공통브리프.md","00_CONTROL(프로젝트_통제)",".md","18969","0.018","2026-08-21 19:50:32","GITHUB_INCLUDED"
"00_CONTROL(프로젝트_통제)\01_CORE(핵심_정본)\00_FOLDER_GUIDE__폴더_구조_안내.md","00_CONTROL(프로젝트_통제)",".md","2102","0.002","2026-08-20 22:39:01","GITHUB_INCLUDED"
"00_CONTROL(프로젝트_통제)\01_CORE(핵심_정본)\00_MASTER_PLAN.md","00_CONTROL(프로젝트_통제)",".md","34705","0.033","2026-08-19 22:51:30","GITHUB_INCLUDED"
"00_CONTROL(프로젝트_통제)\01_CORE(핵심_정본)\02_BRAND_SYSTEM.md","00_CONTROL(프로젝트_통제)",".md","8212","0.008","2026-08-14 00:07:55","GITHUB_INCLUDED"
"00_CONTROL(프로젝트_통제)\02_STRATEGY(전략)\06_VISUAL_DIRECTION__비주얼_방향.md","00_CONTROL(프로젝트_통제)",".md","44458","0.042","2026-08-21 19:50:32","GITHUB_INCLUDED"
"00_CONTROL(프로젝트_통제)\02_STRATEGY(전략)\07_INTEGRATED_VISUAL_SYSTEM__통합_비주얼_시스템.md","00_CONTROL(프로젝트_통제)",".md","28783","0.027","2026-08-21 19:50:32","GITHUB_INCLUDED"
"00_CONTROL(프로젝트_통제)\02_STRATEGY(전략)\C005_USER_DECISION_BRIEF.md","00_CONTROL(프로젝트_통제)",".md","9624","0.009","2026-08-14 00:12:27","GITHUB_INCLUDED"
"00_CONTROL(프로젝트_통제)\02_STRATEGY(전략)\CAMPAIGN_STRATEGY.md","00_CONTROL(프로젝트_통제)",".md","24514","0.023","2026-08-15 02:44:28","GITHUB_INCLUDED"
"00_CONTROL(프로젝트_통제)\02_STRATEGY(전략)\CHANNEL_MESSAGE_HIERARCHY.md","00_CONTROL(프로젝트_통제)",".md","23503","0.022","2026-08-14 00:07:56","GITHUB_INCLUDED"
"00_CONTROL(프로젝트_통제)\02_STRATEGY(전략)\OFFER_ARCHITECTURE.md","00_CONTROL(프로젝트_통제)",".md","24120","0.023","2026-08-14 00:12:27","GITHUB_INCLUDED"
